,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
652,600519.XSHG,600519,贵州茅台,XSHG,2012-09-07,154.75,231.75,155.718,162.262,155.718,161.327,5180349,250824288000,24793.0,0.0041,0.6677445769,1023079170,250824288000,1,159.568
653,600519.XSHG,600519,贵州茅台,XSHG,2012-09-10,161.327,241.6,161.401,164.265,159.778,161.381,3408528,250907342400,13597.0,0.0027,0.6677445769,683513920,250907342400,1,162.023
654,600519.XSHG,600519,贵州茅台,XSHG,2012-09-11,161.381,241.68,160.459,160.459,158.91,160.078,1952422,248882891400,4850.0,0.0016,0.6677445769,385605472,248882891400,1,159.575
655,600519.XSHG,600519,贵州茅台,XSHG,2012-09-12,160.078,239.73,161.26,164.599,159.524,160.432,3511813,249433126800,7043.0,0.0028,0.6677445769,703237250,249433126800,1,161.795
656,600519.XSHG,600519,贵州茅台,XSHG,2012-09-13,160.432,240.26,160.559,161.287,159.124,160.245,1729602,249142436400,4469.0,0.0014,0.6677445769,342849632,249142436400,1,160.16
657,600519.XSHG,600519,贵州茅台,XSHG,2012-09-14,160.245,239.98,160.926,163.698,159.664,163.437,2975006,254104936800,8046.0,0.0024,0.6677445769,597041980,254104936800,1,162.148
658,600519.XSHG,600519,贵州茅台,XSHG,2012-09-17,163.437,244.76,163.597,164.719,161.06,161.127,2421757,250512834000,6096.0,0.0019,0.6677445769,488152576,250512834000,1,162.862
659,600519.XSHG,600519,贵州茅台,XSHG,2012-09-18,161.127,241.3,160.786,162.329,159.925,160.479,2211527,249505799400,4063.0,0.0018,0.6677445769,441080160,249505799400,1,161.147
660,600519.XSHG,600519,贵州茅台,XSHG,2012-09-19,160.479,240.33,159.952,160.926,153.681,154.623,4959950,240400960800,10693.0,0.0039,0.6677445769,958082560,240400960800,1,156.071
661,600519.XSHG,600519,贵州茅台,XSHG,2012-09-20,154.623,231.56,154.182,155.444,152.84,152.94,2603621,237784747200,6662.0,0.0021,0.6677445769,496309728,237784747200,1,154.018
662,600519.XSHG,600519,贵州茅台,XSHG,2012-09-21,152.94,229.04,152.453,155.584,152.326,153.975,1897241,239393926200,6697.0,0.0015,0.6677445769,361373280,239393926200,1,153.897
